Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",156.230000,-108.922500,90.000000,top
"C2","100n","C_0402_1005Metric",154.347500,-110.697500,180.000000,top
"C3","100n","C_0402_1005Metric",154.387500,-114.687500,180.000000,top
"C4","10u","C_0603_1608Metric",153.827500,-116.027500,180.000000,top
"C5","100n","C_0402_1005Metric",172.260000,-118.040000,180.000000,top
"C6","10u","C_0603_1608Metric",174.780000,-118.320000,0.000000,top
"C7","100n","C_0402_1005Metric",170.270000,-118.040000,0.000000,top
"C8","10u","C_0603_1608Metric",167.760000,-118.310000,180.000000,top
"C9","100n","C_0402_1005Metric",164.930000,-117.832500,0.000000,top
"C10","100n","C_0402_1005Metric",185.007500,-118.160000,0.000000,top
"C11","10u","C_0805_2012Metric",186.967500,-112.850000,180.000000,top
"C12","22u","C_0805_2012Metric",183.217500,-112.850000,0.000000,top
"C14","100n","C_0402_1005Metric",145.550000,-109.460000,0.000000,top
"C15","100n","C_0402_1005Metric",143.880000,-111.090000,90.000000,top
"C16","100n","C_0402_1005Metric",156.050000,-117.870000,-90.000000,top
"C17","10p","C_0402_1005Metric",150.610000,-109.960000,0.000000,top
"C18","10p","C_0402_1005Metric",150.610000,-115.440000,180.000000,top
"C19","10u","C_0603_1608Metric",154.070000,-109.112500,180.000000,top
"D1","Red","LED_0603_1608Metric",147.990000,-117.427500,90.000000,top
"D2","White","LED_0603_1608Metric",144.750000,-117.430000,90.000000,top
"D3","White","LED_0603_1608Metric",146.370000,-117.427500,90.000000,top
"FB1","FerriteBead","L_0805_2012Metric",153.557500,-117.777500,180.000000,top
"L1","3.9u","L_Sunlord_SWPA4030S",181.397500,-116.400000,180.000000,top
"R1","100k","R_0402_1005Metric",191.900000,-111.000000,0.000000,top
"R2","50k","R_0402_1005Metric",192.500000,-109.300000,90.000000,top
"R3","50k","R_0402_1005Metric",142.920000,-114.900000,90.000000,top
"R4","1.5k","R_0402_1005Metric",147.990000,-114.910000,-90.000000,top
"R5","1.5k","R_0402_1005Metric",144.750000,-114.910000,-90.000000,top
"R6","1.5k","R_0402_1005Metric",146.370000,-114.900000,-90.000000,top
"U1","AP63203WU","TSOT-23-6",186.107500,-115.760000,180.000000,top
"U2","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",172.042500,-112.692500,-90.000000,top
"U3","STM32F030C8Tx","LQFP-48_7x7mm_P0.5mm",160.670000,-113.442500,0.000000,top
"U5","LIS3MDL","LGA-12_2x2mm_P0.5mm",145.810000,-111.310000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",150.600000,-112.700000,-90.000000,top
